Applicant_ID,default_status
Apcnt_1000032,0.364136548380951
Apcnt_1000048,0.3576875207174102
Apcnt_1000052,0.3905523141964403
Apcnt_1000076,0.7268830537366053
Apcnt_1000080,0.16407858899162558
Apcnt_1000084,0.37956349863376615
Apcnt_1000104,0.4258948424730981
Apcnt_1000116,0.6031099192282314
Apcnt_1000128,0.40335875276980404
Apcnt_1000156,0.26375643967632634
Apcnt_1000192,0.11130539894919814
Apcnt_1000208,0.04869979720469314
Apcnt_1000264,0.6256161647487972
Apcnt_1000288,0.07121006701761756
Apcnt_1000292,0.45870063368464054
Apcnt_1000328,0.7115511406395336
Apcnt_1000336,0.3868017510304931
Apcnt_1000356,0.08859271398134344
Apcnt_1000368,0.1511002533677009
Apcnt_1000372,0.700272436889872
Apcnt_1000392,0.08471546962615531
Apcnt_1000396,0.1029277558173414
Apcnt_1000400,0.07793680679696245
Apcnt_1000416,0.29172399199565674
Apcnt_1000428,0.041315491599363076
Apcnt_1000440,0.06314192212243117
Apcnt_1000456,0.5529495184642169
Apcnt_1000472,0.0814864658128607
Apcnt_1000488,0.16519383727910228
Apcnt_1000492,0.07966519090680332
Apcnt_1000504,0.7286500309958758
Apcnt_1000516,0.28073331926121353
Apcnt_1000532,0.09341468989097507
Apcnt_1000552,0.22659849348979924
Apcnt_1000564,0.3461234290137184
Apcnt_1000576,0.7633286318562198
Apcnt_1000596,0.11498160361281531
Apcnt_1000620,0.11002742957489321
Apcnt_1000624,0.0411627644217956
Apcnt_1000636,0.02338458194590921
Apcnt_1000648,0.04995566147471421
Apcnt_1000668,0.040365991845748725
Apcnt_1000680,0.14350799177666074
Apcnt_1000696,0.0674195421863069
Apcnt_1000704,0.5917644013676813
Apcnt_1000724,0.06153670772581829
Apcnt_1000740,0.26689122985693753
Apcnt_1000744,0.03342691971956033
Apcnt_1000756,0.053322487048876266
Apcnt_1000768,0.025681110125897258
Apcnt_1000784,0.022161313940319373
Apcnt_1000796,0.023805125734227047
Apcnt_1000808,0.019295364839107928
Apcnt_1000816,0.05408283961332962
Apcnt_1000820,0.02633825606177787
Apcnt_1000824,0.09168808866873349
Apcnt_1000856,0.5526379868379847
Apcnt_1000872,0.5684292473846978
Apcnt_1000880,0.08140254120511259
Apcnt_1000904,0.22173754200182882
Apcnt_1000912,0.6263397050727001
Apcnt_1000920,0.7228677102896566
Apcnt_1000952,0.09732531758215146
Apcnt_1000960,0.1099372194087662
Apcnt_1000964,0.14978346372095383
Apcnt_1000968,0.03180849340238069
Apcnt_1000976,0.7415319321917359
Apcnt_1000984,0.5048141957058109
Apcnt_1000992,0.20529039417774914
Apcnt_1000996,0.5430727410507883
Apcnt_1001000,0.21258206193539803
Apcnt_1001008,0.11430666307784679
Apcnt_1001028,0.04825837697263438
Apcnt_1001032,0.5293082604666894
Apcnt_1001036,0.6965209219768258
Apcnt_1001040,0.5479236990254194
Apcnt_1001048,0.5592061086660947
Apcnt_1001052,0.05663800569620322
Apcnt_1001068,0.8276274239285821
Apcnt_1001076,0.1334519962763025
Apcnt_1001080,0.18349316231659474
Apcnt_1001092,0.12787633077574823
Apcnt_1001120,0.6647883400818926
Apcnt_1001144,0.5869089421435323
Apcnt_1001148,0.19030477616768926
Apcnt_1001168,0.13438556388737105
Apcnt_1001176,0.805984083834197
Apcnt_1001200,0.17285558109927318
Apcnt_1001224,0.3897485725603437
Apcnt_1001228,0.5501533958711914
Apcnt_1001236,0.06836661709215136
Apcnt_1001244,0.28326424564155545
Apcnt_1001248,0.03705729668224407
Apcnt_1001256,0.29075284202178125
Apcnt_1001260,0.1924315320021618
Apcnt_1001264,0.03202915530962927
Apcnt_1001288,0.05975622738034883
Apcnt_1001292,0.09979527758349642
Apcnt_1001296,0.08188261278681609
Apcnt_1001304,0.2575475915446033
Apcnt_1001308,0.13632020378192264
Apcnt_1001316,0.16900851613675338
Apcnt_1001320,0.5450018015198372
Apcnt_1001352,0.40877254179494643
Apcnt_1001360,0.3189450446782882
Apcnt_1001376,0.8182106305315395
Apcnt_1001384,0.07991275007113563
Apcnt_1001388,0.49390654127087374
Apcnt_1001400,0.8126149668211269
Apcnt_1001416,0.5869554721263376
Apcnt_1001436,0.6000264686831955
Apcnt_1001452,0.3315220016475431
